,arxiv_id,latex,fixed
0,2107.08307,"\begin{theorem}
For any $n\in\mathbb{Z}$, the state probability $q(n,t)=\mathrm{Pr}\{\mathcal{S}(t)=n\}$ of GSP is given by
\begin{equation}\label{qkl11}
q(n,t)=e^{-(\Lambda+\bar{\Lambda})t}\left(\Lambda/\bar{\Lambda}\right)^{n/2}I_{|n|}\left(2t\sqrt{\Lambda \bar{\Lambda}}\right).
\end{equation}
\end{theorem}","theorem gsp_state_probability
  (q := λ n t, Pr (S t) n) :
  ∀ n t, q n t = exp (-(Λ + Λ̄) * t) * ((Λ / Λ̄) ^ (n / 2)) * (I (abs n) (2 * t * sqrt (Λ * Λ̄)))
  := sorry"
1,2107.08307,"\begin{proposition}
The state probabilities $q^{\alpha}(n,t)=\mathrm{Pr}\{\mathcal{S}^{\alpha}(t)=n\}$, $n\in \mathbb{Z}$ of  GFSP solves the following system of fractional differential equations:
\begin{equation}\label{pmf}
\partial_{t}^{\alpha}q^{\alpha}(n,t)=\Lambda\left(q^{\alpha}(n-1,t)-q^{\alpha}(n,t)\right)-\bar{\Lambda}\left(q^{\alpha}(n,t)-q^{\alpha}(n+1,t)\right),
\end{equation}
with initial conditions $q^{\alpha}(0,0)=1$ and $q^{\alpha}(n,0)=0, \ n\neq0$.
\end{proposition}","theorem proposition_pmf
  (q_α := λ n t, Pr (S α t) n) :
  ∀ n t, ((fractional_derivative t α) q_α n t = exp (-(Λ + Λ̄) * t) * ((Λ / Λ̄) ^ (n / 2)) * (I (abs n) (2 * t * sqrt (Λ * Λ̄))))
        ∧ (q_α 0 0 = 1) 
        ∧ (n ≠ 0 → q_α n 0 = 0)
  := sorry"
2,2107.08307,"\begin{proposition}
The pgf of GFSP  is given by
\begin{equation}\label{pgf}
G^{\alpha}_{\mathcal{S}}(u,t)=        E_{\alpha,1}\left(\sum_{j=1}^{k}\left(\lambda_{j}(u^{j}-1)+\mu_{j}(u^{-j}-1)\right)t^{\alpha}\right).
\end{equation}
\end{proposition}","lemma proposition_pgf
  (G := pgf_of_gfsp) :
  \forall u t, G α S u t = E α 1 (∑ j in finset.Icc 1 k, (lambda j  * (u^j - 1) + μ j * (u^(-j) - 1)) * t^α))
  := sorry "
3,2107.08307,"\begin{proposition}\label{p3.3}
The $r$th factorial moment of GFSP, that is, $\Psi^\alpha(r,t)=        \mathbb{E}(\mathcal{S}^{\alpha}(t)(\mathcal{S}^{\alpha}(t)-1)\cdots(\mathcal{S}^{\alpha}(t)-r+1))$, $r\ge1$, is given by
\begin{equation*}
\Psi^\alpha(r,t)=r!\sum_{n=1}^{r}\frac{t^{n\alpha}}{\Gamma(n\alpha+1)}\underset{m_i\in\mathbb{N}}{\underset{\sum_{i=1}^nm_i=r}{\sum}}\prod_{\ell=1}^{n}\left(\frac{1}{m_\ell!}\sum_{j=1}^{k}\left((j)_{m_\ell}\lambda_{j}+(-1)^{m_\ell}j^{(m_\ell)}\mu_{j}\right)\right),
\end{equation*}
where $(j)_{m_\ell}=j(j-1)\cdots(j-m_\ell+1)$ denotes the falling factorial and $j^{(m_\ell)}=j(j+1)\cdots(j+m_\ell-1)$ denotes the rising factorial.
\end{proposition}","lemma p3_3
  (r : ℕ) (hr : r ≥ 1) (ψ := rth_factorial_moment_of_gfsp r):
  ∀ t, ψ α r t = factorial r * (∑ n in finset.Icc 1 r , ( (t^(n*α)/(Γ (n*α + 1))) * ∑ m in {m' : (finset.Icc 1 n) → ℕ ∣ (∑ i in finset.Icc 1 n, m' i) = r},  ∏ l in finset.Icc 1 n, ((1 / (factorial (m l))) * ∑ j in finset.Icc 1 k, (falling_factorial j (m l) * lambda j) + ((-1)^(m l) * rising_factorial j (m l) * μ j)) ))
  := sorry"
4,2107.08307,"\begin{proposition}
The GFSP exhibits the LRD property.
\end{proposition}","lemma lrd_property_gfsp :
  lrd_property GFSP := sorry"
5,2107.08307,"\begin{proposition}
The one-dimensional distributions of GFSP are not infinitely divisible.
\end{proposition}","lemma proposition_not_infinitely_divisble :
  not_infinitely_divisible GFSP 1 := sorry  "
6,2107.08307,"\begin{theorem}\label{thm1}
The pmf $p_{f}(n,t)=\mathrm{Pr}\{\mathcal{Z}_{f}(t)=n\}$ of TCGCP-I is given by
\begin{equation}\label{fd12dfqq}
p_{f}(n,t)=\sum_{\Omega(k,n)}\prod_{j=1}^{k}\frac{\lambda_{j}^{x_{j}}}{x_{j}!}\mathbb{E}\left(e^{-\Lambda D_{f}(t)}D_{f}^{s_{k}}(t)\right),\ \ n\geq0,
\end{equation}
where $s_{k}=x_{1}+x_{2}+\dots+x_{k}$ and $\Omega(k,n)$ is as given in (\ref{p(n,t)}).
\end{theorem}","theorem thm1 
  (p := λ f n t, ∑ x in Ω k n, (∏ j in finset.Icc 1 k, (lambda j)^(x j) / (factorial (x j)) * expected_value (exp (-Λ * D f t) * (D f t)^(∑ i in finset.Icc 1 k, x i)))) : 
  is_pmf_of_TCGCP_I p
  := sorry"
7,2107.08307,"\begin{proposition}
The pgf of TCGCP-I is given by
\begin{equation}\label{pgff}
G_{f}(u,t)=\exp\left\{-tf\left(\sum_{j=1}^{k}\lambda_{j}(1-u^{j})\right)\right\},\ \ |u|\le1.
\end{equation}
\end{proposition}","lemma pgf_tcgcp_i
  (G := λ f u t (hu : abs u ≤ 1), exp (-t * f (∑ j in finset.Icc 1 k, (lambda j) * (1 - u^j)))) :
  is_pgf_TCGCP_I G
  := sorry 
"
8,2107.08307,"\begin{theorem}
Let $f$ be a Bern\v stein function  associated with L\'evy subordinator $\{D_{f}(t)\}_{t\ge0}$ such that $\lim_{x\rightarrow 0+}f(\lambda x)/f(x)=\lambda^\theta$, $\lambda>0$ which implies that it is regularly varying at 0+ with index $0<\theta<1$. Also, let
\begin{equation*}
g(t)=\frac{\log\log t}{\phi(t^{-1}\log\log t)},\ \ t>e,
\end{equation*}
where $\phi$ is the inverse of $f$. Then,
\begin{equation}\label{lil}
\liminf_{t\rightarrow\infty}\frac{\mathcal{Z}_{f}^{\alpha}(t)}{(g(t))^{\alpha}}\stackrel{d}{=}\sum_{j=1}^{k}j\lambda_{j} Y_{\alpha}(1)\theta^\alpha\left(1-\theta\right)^{\alpha(1-\theta)/\theta}.
\end{equation}
\end{theorem}","theorem lil
  (f : bernstein_function)
  (D_f : levy_subordinator f)
  (θ : ℝ) (hθ : 0 < θ ∧ θ < 1)
  (hf: ∀ lambda (hlambda : lambda > 0), (limit_from_above (λ x, (f (lambda * x)) / (f x)) 0 = lambda^θ))
  (g := λ t (ht: t > exp 1), (log (log t)) / ((inverse f) (t^(-1) * (log (log t))))) :
  liminf_d (λ t, (Z f α t) / (g t)^α) at_top ∑ j in finset.Icc 1 k, j * (lambda j) * (Y α 1) * θ^α * (1 - θ)^(α * (1 - θ) / θ)
  := sorry 
"
9,2107.08307,"\begin{theorem}
Let $m$ be a fixed positive integer and $\{X_{j}\}_{j\geq1}$ be a sequence of independent and identically distributed random variables such that
\begin{equation*}
\mathrm{Pr}\{X_{1}=n\}=\frac{1}{u(m)}\int_{0}^{\infty}\mathrm{Pr}\{M(s)= n\}\mu(\mathrm{d}s),\ \ n\ge m,
\end{equation*}
where $u(m)=\displaystyle\int_{0}^{\infty}\mathrm{Pr}\{M(s)\ge m\}\mu(\mathrm{d}s)$. Then, for $t>0$, we have
\begin{equation*}
\lim_{m\to 0}Z_m(t)\stackrel{d}{=}\mathcal{Z}_f(t),
\end{equation*}
where $Z_m(t)=X_{1}+X_2+\cdots+X_{N(tu(m)/\Lambda)}$.
\end{theorem}","theorem theorem_limit_Zm_Zf
  (m : ℕ)
  (X : ℕ → ℕ)
  (hX : iid X)
  (u : ℕ → ℝ) (hu : u m = ∫ s in Ici 0, (λ s, Pr (M s ≥ m)) ∂μ)
  (Pr_X : ∀ (n : ℕ) (hn : n ≥ m), Pr (X 1) n = (1 / (u m)) * ∫ s in Ici 0, (λ s, Pr (M s) n) ∂μ)
  (t : ℝ) (ht: t > 0) 
  (Z : ℕ → ℝ → ℝ) (hZ: ∑ (i : finset.range N(t * u m / Λ))):
  limit_d (λ m, Z m t) 0 = Z f t
  := sorry
"
10,2107.08307,"\begin{theorem}
Let $\mathbb{E}\left(D_f^{i\alpha}(t)\right)\sim k_it^{i\theta}$ for $i=1,2$
such that  $0< \theta <1$, $k_1>0$ and $k_2\geq k_1^2$. Then, the TCGFCP-I  exhibits the LRD property.
\end{theorem}","theorem lrd_property 
  (θ : Ioo 0 1)
  (k₁ k₂ : ℝ) 
  (hk₁ : k₁ > 0)
  (hk₂ : k₂ ≥ k₁^2)
  (E_D_f_1 : sim (λ t, expected_value (D_f α t)) (λ t, k_1 * t^θ))
  (E_D_f_2 : sim (λ t, expected_value (D_f 2*α t)) (λ t, k_1 * t^(2*θ))) : 
  lrd_property TCGFCP_I 
  := sorry 
"
0,2104.03526,"\begin{proposition}\label{lem:koszul-nullity}
Let $\pd_i = \deg(p_i)$. Using the notation of this section, the nullity of $\begin{bmatrix}
A_k & B_k N_k
\end{bmatrix}$ is
\begin{align}
\nullity\left(\begin{bmatrix}
A_k & B_k N_k
\end{bmatrix}\right) & =  \nullitymac{d_{k+1}}\label{eq:nullity}\\
&= \sum_{j=0}^n (-1)^j \sum_{i_1<\cdots<i_j} \binom{n+d_{k+1} - \sum_{\ell=1}^j \pd_{i_\ell}}{n},\notag
\end{align}
where  we set $\binom{a}{b} = 0$ unless $a,b\ge 0$ and $a\ge b$.  Moreover, \[
\nullitymac{\dMac} = \nullitymac{\dMac-1} = r = \prod_{i=1}^n \pd_i,
\]
where $\dMac$ is given in Equation~\eqref{eq:dmac}.
\end{proposition}","lemma koszul_nullity
  (b : finset.range n → ℕ := λ i, deg (p i)):
  nullity (matrix_concat (A k) (B k * N k)) = nullity (Mac (d (k+1))
  ∧ nullity (matrix_concat (A k) (B k * N k)) = ∑ j in finset.range n, (-1)^j"
3,2104.03526,"\begin{lemma}
For $j=1,\ldots,n$, the eigenpolynomial associated with $\lambda = 0$ of the operator $m_{x_i}:\quotientalgebra\rightarrow \quotientalgebra$ is $$q = \sum_{\iota\subseteq \mathbf I} \det (\varepsilon Q_\iota) \prod_{k\in\iota} x_k$$
where $\mathbf I = \{1,\ldots,n\}$ denotes the set of possible row and column indices and $Q_\iota$ denotes the matrix formed by removing rows and columns in $\iota\subseteq \mathbf I$ from $Q$.
\label{lemma: q is of this form}
\end{lemma}","lemma lemma_q_is_of_this_form
  {n : ℕ}
  (Q : matrix (fin n) (fin n) ℝ)
  (m : Π (i : fin n), linear_map (quotient_algebra Q) (quotient_algebra Q))
  (q : eigenpolynomial (m (x i)) 0) := 
  q = (∑ ι : finset (fin n), (det (ε * (remove_rows_and_columns Q ι))) * (∏ k in ι, x k)) :
  := sorry"
0,2208.04755,"\begin{prop}[Hulanicki-Reiter condition]\label{prop: Hul-Rei condition}
Let $G$ be a finitely generated group with finite generating set $S$ and the associated word length metric. Then the following are equivalent:
\begin{enumerate}
\item $G$ is amenable;
\item For any $\varepsilon>0$, there exists a function $f\in \ell^2(G)_{1,+}$ such that $\|f-s\cdot f\|_2\leq \varepsilon$ for any $s\in S$ and $\supp(f)$ is finite.
\end{enumerate}
\end{prop}","lemma prop_hulanicki_reiter
  {G : Type*}
  [group G]
  (S : finset G)
  (hS : finite_generating_set S G)
  (word_length : word_length_on G S) :
  (amenable G) ↔ (    
    ∀ (ε : ℝ) (hε : ε > 0),
      ∃ (f : G → ℂ) (hf : f ∈ (l2_1_plus G)),
      (∀ (s : S), (norm_l2 (f - (s • f))) ≤ ε)
      ∧ (finite_support f))
  := sorry "
1,2208.04755,"\begin{prop}\label{prop: uniform Hul-Rei condition}
Let $\{G_i\}_{i\in I}$ be a family of finitely generated groups with finite generating set $S_i$ such that $\sup_i \sharp S_i<\infty$ and the associated word length metric. Then the following are equivalent:
\begin{enumerate}
\item $\{(G_i, S_i)\}_{i\in I}$ is uniformly amenable, \emph{i.e.}, for any $\varepsilon>0$ there exists $D>0$ and a family of functions $\{f_i\}_{i\in I}$ such that each $f_i \in \ell^2(G_i)_{1,+}$ satisfies $\|f_i-s\cdot f_i\|_2\leq \varepsilon$ for $s\in S_i$ and $\supp(f_i) \subseteq B(1_{G_i}, D)$.
\item For any $R>0$ and $\varepsilon>0$, there exists $D'>0$ and a family of finite subsets $\{F_i\subseteq G_i\}_{i\in I}$ such that $\sharp \partial_R F_i/\sharp F_i \leq \varepsilon$ and $F_i \subseteq B(1_{G_i}, D')$.
\end{enumerate}
\end{prop}","lemma prop_uniform_Hul_Rei_condition
  {I : Type*}
  (G : I → Type)
  [∀ i : I, group (G i)]
  (S : (λ i : I, finset (G i)))
  (hS : ∀ i : I, finite_generating_set (S i) (G i))
  (hS_sup : ∃ (C : ℝ), ∀ i : I, (card (S i)) ≤ C)
  (word_length : Π i, word_length_on (G i) (S i)) :
  (∀ (ε : ℝ) (hε: ε > 0),
   ∃ (D: ℝ) (hD: D > 0) (f: (λ i : I, (G i) → ℂ)),
   ∀ (i : I), 
   ∀ (s : (S i)), 
   ((norm_l2 ((f i) - (s • (f i)))) ≤ ε ∧ (∀ i : subset (supp (f i)) (ball (one (G i)) D))))
  ↔ (∀ (R : ℝ) (hR : R > 0) (ε : ℝ) (hε : ε > 0),
       ∃ (D' : ℝ) (hD' : D' > 0) (F : (λ i : I, finset (G i))),
      (∀ i : I, (card (boundary_set R (F i)) / (card (F i))) ≤ ε)
      ∧ (∀ i : I, subset (F i) (ball (one (G i)) D')))
  := sorry"
2,2208.04755,"\begin{prop}[Higson-Roe condition]\label{prop: Hig-Roe condition}
Let $(X,d)$ be a discrete metric space of bounded geometry. Then the following are equivalent:
\begin{enumerate}
\item $(X,d)$ has Property A;
\item For any $\varepsilon>0$ and $R>0$, there exists a map $\xi: X\to \ell^2(X)_{1,+}$ such that $\xi$ has $(\varepsilon,R)$-variation and there exists a constant $S>0$ such that $\supp(\xi(x)) \subset B(x,S)$ for any $x\in X$.
\end{enumerate}
\end{prop}","lemma prop_higson_roe
  (X : Type*) (d : X → ℝ) [m : discrete_metric_space_bounded_geometry X d]:
  (property_A m)
  ↔ (∀ (ε : ℝ) (hε : ε > 0) (R : ℝ) (hR : R > 0),
      ∃ (ξ : X → (l2_1_plus X)),
      (has_variation ξ ε R) ∧ (∃ (S: ℝ) (hS: S > 0), ∀ (x : X), (support (ξ x)) ⊆ ball x S))
  := sorry"
3,2208.04755,"\begin{lem}\label{lem:existence of cut}
Let $X$ be a set and $f: X \to [0,1]$ be a function in $\ell^2(X)_{1,+}$ with finite support. Then for any $\varepsilon\in [0,1]$, there exists $c\geq 0$ such that $\|f_c\|_2=\varepsilon$ where $f_c(x):=\min\{f(x), c\}$ for $x\in X$.
\end{lem}","lemma existence_of_cut
  {X : set type_X}
  (f : X → set.Icc 0 1)
  (hf : f ∈ (l2_1_plus X))
  (hfs : finite_support f) :
  ∀ (ε : set.Icc 0 1), 
  ∃ (c : ℝ) (hc : c ≥ 0), 
  norm_l2 (λ x, min (f x) c) = ε
  := sorry"
6,2208.04755,"\begin{prop}\label{prop:op norm and l1 norm}
For a finitely generated amenable group $G$ and a function $f \in \ell^1(G)$ with range in $[0,1]$, the operator $T_f$ can be continuously extended to a bounded linear operator on $\ell^2(G)$ with operator norm equals $\|f\|_1^2$.
\end{prop}","lemma prop_op_norm_and_l1_norm
  {G : Type*}
  [group G]
  [finitely_generated G]
  [amenable G]
  (f : G → set.Icc 0 1)
  (hf : f ∈ l1 G) :
  ∃ (T_f' : G → range_of_T_f),
    (T_f' = continuous_extension_of (T f)) 
    ∧ (T_f' ∈ l2 G) 
    ∧ (bounded T_f') 
    ∧ (linear_operator T_f') 
    ∧ op_norm (T_f') = (norm_1 f)^2
  := sorry"
0,0705.1690,"\begin{lem} \label{beta}
For all $n \geq 1$,
\[
\beta_{\alpha,n} \, = \,
|q_{\alpha, n} x \, - \, p_{\alpha, n}|
\]
\end{lem}","lemma beta
  (n : ℕ) (hn : n ≥ 1):
  β α n = abs ((q α n) * x - (p α n))
  := sorry"
1,0705.1690,"\begin{lem} \label{rho}
Let $\bar{\alpha}=\max(\alpha,1-\alpha)$, $g=\frac{\sqrt{5}-1}{2}$, $\gamma=\sqrt{2}-1$. Then $\forall n \geq 0$,
\begin{displaymath}
\beta_{\alpha,n} \leq \bar{\alpha} \rho_{\alpha}^n, \qquad \frac{1}{q_{\alpha,n+1}}<(1+\alpha)\bar{\alpha} \rho_{\alpha}^n
\end{displaymath}
where
\begin{itemize}
\item $\rho_{\alpha}=g$, \quad for $g < \alpha \leq 1$
\item $\rho_{\alpha}=\gamma$, \quad for $\gamma \leq \alpha \leq g$,
\item $\rho_{\alpha}=\sqrt{1-2\alpha}$, \quad for $0 < \alpha < \gamma$.
\end{itemize}
\end{lem}","lemma rho1
  (α_bar := max α (1 - α))
  (g : ℝ := (real.sqrt 5 - 1) / 2)
  (γ : ℝ := (real.sqrt 2 - 1))
  (ρ : ℝ := if g < α ∧ α ≤ 1 then g 
            else if γ ≤ α ∧ α ≤ g then γ 
            else if (0 < α ∧ α < γ) then real.sqrt (1 - 2 * α)) :
  ∀ (n : ℕ),
  β α n ≤ α_bar * ρ^n
  ∧ (1 / (q α (n+1))) < (1 + α) * α_bar * ρ^n
  := sorry"
2,0705.1690,"\begin{prop} \label{q_series}
For any $\alpha, \, 0 < \alpha \le 1$, and for any $u$ satisfying the conditions (\ref{conditions}), there exists a positive
constant $C_{\alpha, 1}$, depending on $u$, such that $\forall x \in \mathbb{I}_{\alpha}$, $\forall N>0$,
\[
\abs{
B_{\alpha,u}^N(x) - \sum_{n=0}^{N} \frac{u(a_{\alpha, n+1}^{-1})}{q_{\alpha, n}} } < C_{\alpha, 1}
\]
where $q_{\alpha,n}$ are the denominators of the $\alpha$-convergents of $x$.
\end{prop}","lemma q_series
  (α : Ioc 0 1)
  (u : Type) (h_conditions : satisfies_conditions u) :
  ∃ (C_α_1 : ℝ) (hC_α_1 : C_α_1 > 0),
  ∀ (x : I α) (N : ℕ) (hN : N > 0) (q : demoninators_of_alpha_convergents α x),
  abs ((B α u N x) - ∑ n in finset.range (N+1), (u (a α (n+1))^(-1)) / (q α n)) < C_α_1
  := sorry"
3,0705.1690,"\begin{theo} \label{bounded_difference}
Let $0 < \alpha \leq 1$ and assume that $u$ satisfies the conditions (\ref{conditions}). Then there
exists a positive constant $C_{\alpha,2}$, depending on $u$, such that
\[
| B_{\alpha,u}(x) \, - \, B_{1,u}(x) | \, < \, C_{\alpha, 2}
\]
whenever $B_{1,u}(x) < \infty$.
\end{theo}","theorem bounded_difference
  (α : Ioc 0 1)
  (u : Type) (h_conditions : satisfies_conditions u) :
  ∃ (C_α_2 : ℝ) (hC_α_2 : C_α_2 > 0),
  ∀ x,
  (B 1 u x < ∞) → abs ((B α u x) - (B 1 u x)) < C_α_2
  := sorry"
4,0705.1690,"\begin{prop}
For $\alpha \in (0,1]$, if $u_{\alpha} \in L^p(0,\bar{\alpha})$, then $B_{\alpha,u} \in L^p(\mathbb{T}^1)$.
\end{prop}","lemma prop_alpha
  (α : Ioc 0 1 )
  (hua : u α ∈ Lp p (Ioo 0 (bar α))) :
  (B α u) ∈ Lp p T1
  := sorry"
5,0705.1690,"\begin{lem} \label{lemma1}
Suppose $x \in \left(0,\frac{1}{2}\right)$ irrational. Then
\[
x = \confrac{1}{a_1} + \confrac{1}{a_2 } + \confrac{1}{a_3} +
\confrac{1}{a_4} + \cdots \, .
\]
implies
\[
1 - x = \confrac{1}{1} + \confrac{1}{a_1 - 1} + \confrac{1}{a_2} +
\confrac{1}{a_3} + \cdots \, .
\]
\end{lem}","lemma lemma1
  (x : Ioo 0 (1/2))
  (a : ℕ → ℕ)
  (ha : x = continued_fraction_sum a) :
  1 - x = continued_fraction_sum (λ n, if n = 0 then 1 else if n = 1 then (a 1) - 1 else a (n-1))
  := sorry"
9,0705.1690,"\begin{theo} \label{theorem4}
There exists a fixed constant $C_0$ such that $\forall x \in (0,1)$,
$$ \abs{B_0(x)-\sum_{n=0}^\infty \frac{\log(b_{n+1}-1)}{q_n^*}}<C_0 .  $$
\end{theo}","theorem theorem4 :
  ∃ (C_0 : ℝ),
  ∀ (x : Ioo 0 1),
  abs (B_0 x - (∑' n : ℕ, (log (b (n+1) - 1)) / (q_star n))) < C_0
  := sorry"
10,0705.1690,"\begin{prop} \label{theorem2}
For any irrational number $x$, $x$ is a Brjuno number if and
only if $x$ and $-x$ are semi-Brjuno numbers.
\end{prop}","lemma theorem_two
  (x : ℝ) (hx : ¬ is_rational x) :
  is_brjuno x ↔ (is_semi_brjuno x ∧ is_semi_brjuno (-x)) := sorry"
